NR_155376.1	Myrmecridium spartii ITS region; from TYPE material
NR_155375.1	Microdochium seminicola KAS 3576 ITS region; from TYPE material
NR_155374.1	Microdochium fisheri CBS 242.91 ITS region; from TYPE material
NR_155373.1	Microdochium citrinidiscum CBS 109067 ITS region; from TYPE material
NR_155372.1	Microdochium colombiense CBS 624.94 ITS region; from TYPE material
NR_155371.1	Myrothecium cylindrosporum MFLUCC 11-0392 ITS region; from TYPE material
NR_155370.1	Myrmecridium hiemale CBS 141017 ITS region; from TYPE material
NR_155369.1	[Candida] rancensis CBS 8174T ITS region; from TYPE material
NR_155368.1	Malassezia arunalokei NCCPF 127130 ITS region; from TYPE material
NR_155367.1	Microglossum parvisporum SAV 10998 ITS region; from TYPE material
NR_155366.1	Melanconiella hyperopta var. orientalis CBS 131705 ITS region; from TYPE material
NR_155365.1	Monilochaetes infuscans CBS 869.96 ITS region; from TYPE material
NR_155364.1	Moesziomyces rugulosus JCM 10323 ITS region; from TYPE material
NR_155363.1	Microsporomyces orientalis CBS 8594 ITS region; from TYPE material
NR_155362.1	Metschnikowia noctiluminum NRRL Y-27753 ITS region; from TYPE material
NR_155361.1	Mrakia robertii CBS 8912 ITS region; from TYPE material
NR_155360.1	Mrakia blollopis CBS 8921 ITS region; from TYPE material
NR_155359.1	Mrakia nivalis CBS 5266 ITS region; from TYPE material
NR_155358.1	Memnoniella longistipitata ATCC 22699 ITS region; from TYPE material
NR_155357.1	Malbranchea flocciformis IFM 41298 ITS region; from TYPE material
NR_155356.1	Malbranchea chrysosporioidea IFM 41294 ITS region; from TYPE material
NR_154199.1	Martiniozyma asiatica CBS 10863 ITS region; from TYPE material
NR_155346.1	Lactifluus pectinatus TOGO MD140 ITS region; from TYPE material
NR_155345.1	Lactifluus melleus TOGO MD157 ITS region; from TYPE material
NR_155344.1	Lactifluus longibasidius TOGO MD156 ITS region; from TYPE material
NR_155343.1	Lactifluus flavellus TOGO MD393 ITS region; from TYPE material
NR_155342.1	Lipomyces yamanashiensis NBRC 110621 ITS region; from TYPE material
NR_155341.1	Lipomyces okinawensis NBRC 110620 ITS region; from TYPE material
NR_155340.1	Lindgomyces pseudomadisonensis HHUF 30513 ITS region; from TYPE material
NR_155339.1	Lophiotrema fallopiae HHUF 30506 ITS region; from TYPE material
NR_155338.1	Lectera capsici ITS region; from TYPE material
NR_155337.1	Libertasomyces quercus CBS 134.97 ITS region; from TYPE material
NR_155336.1	Libertasomyces platani CPC 29609 ITS region; from TYPE material
NR_155335.1	Lipomyces suomiensis CBS 7251 ITS region; from TYPE material
NR_155334.1	Lipomyces arxii CBS 7333 ITS region; from TYPE material
NR_155333.1	Leucosporidium fasciculatum CBS 8786 ITS region; from TYPE material
