NR_155462.1	Naumovozyma baii CBS 12642 ITS region; from TYPE material	1209964	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Naumovozyma,Naumovozyma baii
NR_155461.1	Neoceratosperma yunnanensis CBS 119975 ITS region; from TYPE material	389369	Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Neoceratosperma,Neoceratosperma yunnanensis
NR_155460.1	[Candida] kungkrabaensis CBS 10927 ITS region; from TYPE material	644822	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Nakaseomyces,[Candida] kungkrabaensis
NR_155459.1	Neoerysiphe joerstadii MUMH 4668 ITS region; from TYPE material	641869	Eukaryota,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Neoerysiphe,Neoerysiphe joerstadii
NR_155417.1	Microsporum ferrugineum CBS 497.48 ITS region; from TYPE material	77205	Eukaryota,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,Microsporum,Microsporum ferrugineum
NR_155416.1	Microascus melanosporus CBS 272.60 ITS region; from TYPE material	1526924	Eukaryota,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Microascus,Microascus melanosporus
NR_155415.1	Microascus atrogriseus CBS 295.52 ITS region; from TYPE material	1975736	Eukaryota,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Microascus,Microascus atrogriseus
NR_155414.1	Myrtapenidiella pleurocarpae ITS region; from TYPE material	2014843	Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Myrtapenidiella,Myrtapenidiella pleurocarpae
NR_155413.1	Myrtapenidiella balenae ITS region; from TYPE material	2014841	Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Myrtapenidiella,Myrtapenidiella balenae
NR_155412.1	Myrtapenidiella eucalyptigena ITS region; from TYPE material	2014842	Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Myrtapenidiella,Myrtapenidiella eucalyptigena
NR_155411.1	Megasporia tropica BJFC 022532 ITS region; from TYPE material	2043643	Eukaryota,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Megasporia,Megasporia tropica
NR_155410.1	Megasporia rimosa BJFC 019468 ITS region; from TYPE material	2043642	Eukaryota,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Megasporia,Megasporia rimosa
NR_155409.1	Myrtapenidiella sporadicae CPC 29200 ITS region; from TYPE material	1960837	Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Myrtapenidiella,Myrtapenidiella sporadicae
NR_155408.1	Mycodiella eucalypti CPC 29458 ITS region; from TYPE material	1960836	Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycodiella,Mycodiella eucalypti
NR_155407.1	Melanconiella syzygii CPC 28750 ITS region; from TYPE material	1960832	Eukaryota,Ascomycota,Sordariomycetes,Diaporthales,Melanconiellaceae,Melanconiella,Melanconiella syzygii
NR_155406.1	Moesziomyces antarcticus CBS 5955 ITS region; from TYPE material	84753	Eukaryota,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Moesziomyces,Moesziomyces antarcticus
NR_155405.1	Metschnikowia vanudenii CBS 9134 ITS region; from TYPE material	299329	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia vanudenii
NR_155404.1	Metschnikowia sinensis CBS 10357 ITS region; from TYPE material	1203637	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia sinensis
NR_155403.1	Metschnikowia shanxiensis CBS 10359 ITS region; from TYPE material	1323755	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia shanxiensis
NR_155402.1	Metschnikowia orientalis CBS 10331 ITS region; from TYPE material	150224	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia orientalis
NR_155401.1	Metschnikowia bicuspidata var. bicuspidata CBS 5575 ITS region; from TYPE material	280587	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia bicuspidata
NR_155400.1	Metschnikowia kipukae CBS 9147 ITS region; from TYPE material	197673	Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,Metschnikowia kipukae
NR_155399.1	Myriostoma calongei UFRN Fungos 2019 ITS region; from TYPE material	1917015	Eukaryota,Basidiomycota,Agaricomycetes,Geastrales,Geastraceae,Myriostoma,Myriostoma calongei
NR_155398.1	Mariannaea fusiformis CGMCC 3.17272 ITS region; from TYPE material	1971765	Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Mariannaea,Mariannaea fusiformis
NR_155397.1	Microascus pseudopaisii CBS 141581 ITS region; from TYPE material	1975741	Eukaryota,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Microascus,Microascus pseudopaisii
NR_155396.1	Microascus micronesiensis CBS 141523 ITS region; from TYPE material	1975739	Eukaryota,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Microascus,Microascus micronesiensis
NR_155395.1	Microascus hollandicus CBS 141582 ITS region; from TYPE material	1975738	Eukaryota,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Microascus,Microascus hollandicus
NR_155394.1	Microascus cleistocarpus CBS 134638 ITS region; from TYPE material	1975737	Eukaryota,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Microascus,Microascus cleistocarpus
NR_155393.1	Microascus alveolaris CBS 139501 ITS region; from TYPE material	1651237	Eukaryota,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Microascus,Microascus alveolaris
